image_file_name,color,style,season,category
jean_0001.jpg,blue,casual,winter,jean
jean_0002.jpg,white,casual,winter,jean
jean_0003.jpg,navy,casual,winter,jean
jean_0004.jpg,navy,casual,winter,jean
jean_0005.jpg,blue,casual,winter,jean
jean_0006.jpg,blue,casual,winter,jean
jean_0007.jpg,navy,casual,winter,jean
jean_0008.jpg,white,casual,winter,jean
jean_0009.jpg,blue,casual,winter,jean
jean_0010.jpg,blue,casual,winter,jean
jean_0011.jpg,skyblue,casual,winter,jean
jean_0012.jpg,black,casual,winter,jean
jean_0013.jpg,black,casual,winter,jean
jean_0014.jpg,blue,casual,winter,jean
jean_0015.jpg,blue,casual,winter,jean
jean_0016.jpg,skyblue,casual,winter,jean
jean_0017.jpg,blue,casual,winter,jean
jean_0018.jpg,blue,casual,winter,jean
jean_0019.jpg,blue,casual,winter,jean
jean_0020.jpg,blue,casual,winter,jean
jean_0021.jpg,blue,casual,winter,jean
jean_0022.jpg,pink,casual,winter,jean
jean_0023.jpg,gray,casual,winter,jean
jean_0024.jpg,beige,casual,winter,jean
jean_0025.jpg,yellow,casual,winter,jean
jean_0026.jpg,yellow,casual,winter,jean
jean_0027.jpg,beige,casual,winter,jean
jean_0028.jpg,brown,casual,winter,jean
jean_0029.jpg,white,casual,winter,jean
jean_0030.jpg,white,casual,winter,jean
jean_0031.jpg,dark_beige,casual,winter,jean
jean_0032.jpg,khaki,casual,winter,jean
jean_0033.jpg,khaki,casual,winter,jean
jean_0034.jpg,white,casual,winter,jean
jean_0035.jpg,white,casual,winter,jean
jean_0036.jpg,khaki,casual,winter,jean
jean_0037.jpg,khaki,casual,winter,jean
jean_0038.jpg,black,casual,winter,jean
jean_0039.jpg,beige,casual,winter,jean
jean_0040.jpg,white,casual,winter,jean
jean_0041.jpg,dark_beige,casual,winter,jean
jean_0042.jpg,khaki,casual,winter,jean
jean_0043.jpg,white,casual,winter,jean
jean_0044.jpg,dark_beige,casual,winter,jean
jean_0045.jpg,blue,casual,winter,jean
jean_0046.jpg,blue,casual,winter,jean
jean_0047.jpg,gray,casual,winter,jean
jean_0048.jpg,blue,casual,winter,jean
jean_0049.jpg,skyblue,casual,winter,jean
jean_0050.jpg,white,casual,winter,jean
jogger_0001.jpg,black,street,winter,jogger
jogger_0002.jpg,black,sporty,winter,jogger
jogger_0003.jpg,black,sporty,winter,jogger
jogger_0004.jpg,black,casual,winter,jogger
jogger_0005.jpg,black,street,winter,jogger
jogger_0006.jpg,black,casual,winter,jogger
jogger_0007.jpg,dark_beige,sporty,winter,jogger
jogger_0008.jpg,khaki,casual,winter,jogger
jogger_0009.jpg,black,sporty,winter,jogger
jogger_0010.jpg,black,street,winter,jogger
jogger_0011.jpg,gray,casual,winter,jogger
jogger_0012.jpg,gray,street,winter,jogger
jogger_0013.jpg,black,street,winter,jogger
jogger_0014.jpg,black,street,winter,jogger
jogger_0015.jpg,black,street,winter,jogger
jogger_0016.jpg,navy,sporty,winter,jogger
jogger_0017.jpg,black,street,winter,jogger
jogger_0018.jpg,black,street,winter,jogger
jogger_0019.jpg,black,street,winter,jogger
jogger_0020.jpg,red,sporty,winter,jogger
jogger_0021.jpg,black,sporty,winter,jogger
jogger_0022.jpg,dark_beige,sporty,winter,jogger
jogger_0023.jpg,black,sporty,winter,jogger
jogger_0024.jpg,gray,sporty,winter,jogger
jogger_0025.jpg,yellow,sporty,winter,jogger
jogger_0026.jpg,black,sporty,winter,jogger
jogger_0027.jpg,black,sporty,winter,jogger
jogger_0028.jpg,khaki,street,winter,jogger
jogger_0029.jpg,gray,street,winter,jogger
jogger_0030.jpg,white,sporty,winter,jogger
jogger_0031.jpg,black,street,winter,jogger
jogger_0032.jpg,black,street,winter,jogger
jogger_0033.jpg,white,street,winter,jogger
jogger_0034.jpg,black,sporty,winter,jogger
jogger_0035.jpg,black,street,winter,jogger
jogger_0036.jpg,dark_beige,street,winter,jogger
jogger_0037.jpg,black,sporty,winter,jogger
jogger_0038.jpg,khaki,casual,winter,jogger
jogger_0039.jpg,navy,sporty,winter,jogger
jogger_0040.jpg,khaki,sporty,winter,jogger
jogger_0041.jpg,white,street,winter,jogger
jogger_0042.jpg,gray,sporty,winter,jogger
jogger_0043.jpg,black,street,winter,jogger
jogger_0044.jpg,khaki,street,winter,jogger
jogger_0045.jpg,black,street,winter,jogger
jogger_0046.jpg,blue,sporty,winter,jogger
jogger_0047.jpg,gray,sporty,winter,jogger
jogger_0048.jpg,blue,sporty,winter,jogger
jogger_0049.jpg,dark_beige,sporty,winter,jogger
jogger_0050.jpg,beige,street,winter,jogger
slacks_0001.jpg,black,formal/office,all,slacks
slacks_0002.jpg,black,formal/office,all,slacks
slacks_0003.jpg,black,formal/office,all,slacks
slacks_0004.jpg,black,formal/office,all,slacks
slacks_0005.jpg,black,casual,all,slacks
slacks_0006.jpg,gray,casual,all,slacks
slacks_0007.jpg,gray,modern,winter,slacks
slacks_0008.jpg,gray,modern,winter,slacks
slacks_0009.jpg,black,formal/office,all,slacks
slacks_0010.jpg,black,street,all,slacks
slacks_0011.jpg,black,casual,all,slacks
slacks_0012.jpg,black,formal/office,all,slacks
slacks_0013.jpg,black,formal/office,all,slacks
slacks_0014.jpg,beige,formal/office,all,slacks
slacks_0015.jpg,black,casual,all,slacks
slacks_0016.jpg,dark_beige,formal/office,all,slacks
slacks_0017.jpg,dark_beige,formal/office,all,slacks
slacks_0018.jpg,black,formal/office,all,slacks
slacks_0019.jpg,black,formal/office,all,slacks
slacks_0020.jpg,black,formal/office,all,slacks
slacks_0021.jpg,black,formal/office,all,slacks
slacks_0022.jpg,black,formal/office,all,slacks
slacks_0023.jpg,black,formal/office,all,slacks
slacks_0024.jpg,beige,formal/office,all,slacks
slacks_0025.jpg,white,formal/office,all,slacks
slacks_0026.jpg,white,formal/office,all,slacks
slacks_0027.jpg,black,formal/office,all,slacks
slacks_0028.jpg,gray,casual,all,slacks
slacks_0029.jpg,black,formal/office,all,slacks
slacks_0030.jpg,black,formal/office,all,slacks
slacks_0031.jpg,dark_beige,casual,all,slacks
slacks_0032.jpg,black,formal/office,all,slacks
slacks_0033.jpg,dark_beige,modern,all,slacks
slacks_0034.jpg,black,formal/office,all,slacks
slacks_0035.jpg,black,formal/office,all,slacks
slacks_0036.jpg,black,formal/office,all,slacks
slacks_0037.jpg,black,formal/office,all,slacks
slacks_0038.jpg,gray,casual,all,slacks
slacks_0039.jpg,black,formal/office,all,slacks
slacks_0040.jpg,brown,formal/office,all,slacks
slacks_0041.jpg,dark_beige,formal/office,all,slacks
slacks_0042.jpg,black,formal/office,all,slacks
